,Character,Series,Release Date,Uhrzeit,Wishlist
4538,Sawako Kuronuma,Kimi ni Todoke - From Me to You,22.11.2023,9:10,❤️ 251
4539,Serene Hozumi,Mother of the Goddess' Dormitory,22.11.2023,9:30,
4540,Kalluto Zoldyck,Hunter x Hunter,22.11.2023,9:40,
4541,Caitlyn,Arcane,22.11.2023,10:00,❤️ 565
4542,Female Robin,Fire Emblem Awakening,22.11.2023,10:10,
4543,Nakiri Ayame,Hololive: Holo no Graffiti,22.11.2023,10:30,❤️ 291
4544,Saejima,The Ice Guy and His Cool Female Colleague,22.11.2023,10:40,
4545,Hinako Shirai,Blue Reflection,22.11.2023,11:00,
4546,Nana Komatsu,Nana,22.11.2023,11:10,❤️ 153
4547,707,Mystic Messenger,22.11.2023,11:30,❤️ 341
4548,Dojima Daigo,Yakuza 2,22.11.2023,11:40,
4549,Tomoe,Kamisama Kiss,22.11.2023,12:00,❤️ 324
4550,Amante,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,22.11.2023,12:10,
4551,Ibuki,Senran Kagura: New Wave,22.11.2023,12:30,
4552,Kazuki Aoyama,Tribe Nine,22.11.2023,12:50,
4553,Lelouch Lamperouge,Code Geass: Lelouch of the Rebellion,22.11.2023,13:00,❤️ 1089
4554,Shiki Kamiyama,Summer Pockets,22.11.2023,13:20,
4555,Takemichi Hanagaki,Tokyo Revengers,22.11.2023,13:30,❤️ 410
4556,Kiyomori Taira,Heike Monogatari,22.11.2023,13:50,
4557,Takanashi Kiara,Hololive EN,22.11.2023,14:00,❤️ 352
4558,Kuro Kiryu,Ensemble Stars!,22.11.2023,14:20,
4559,Yuki Chihiro,Nijisanji,22.11.2023,14:30,
4560,Johnny Joestar,JoJo's Bizarre Adventure: Steel Ball Run,22.11.2023,14:50,❤️ 642
4561,Hideri Kanzaki,Blend S,22.11.2023,15:00,❤️ 87
4562,Dark Gundam,Mobile Fighter G Gundam,22.11.2023,15:20,
4563,Gekkamaru,Nightshade,22.11.2023,15:30,
4564,Shiroe,Log Horizon,22.11.2023,15:50,
4565,England,Hetalia: Axis Powers,22.11.2023,16:00,
4566,Leif Faris Claus,Fire Emblem: Thracia 776,22.11.2023,16:20,
4567,Keke Tang,Love Live! Superstar!!,22.11.2023,16:40,
4568,Tsubasa Kashiwagi,The iDOLM@STER SideM,22.11.2023,17:10,
4569,Natsumi,Date a Live III,22.11.2023,17:20,
4570,Jilk Fia Marmoria,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,22.11.2023,17:40,
4571,Marco Lasso,Shaman King,22.11.2023,17:50,
4572,Su,The Great Jahy Will Not Be Defeated!,22.11.2023,18:10,
4573,Caster,Fate/stay night,22.11.2023,18:20,
4574,Aragami Oga,Holostars,22.11.2023,18:40,
4575,Ganyu,Genshin Impact,22.11.2023,18:50,❤️ 2019
4576,Mumei,Kabaneri of the Iron Fortress,22.11.2023,19:10,❤️ 88
4577,Ishtar,Fire Emblem: Genealogy of the Holy War,22.11.2023,19:20,
4578,Gorou Aizawa,Tomo-chan Is a Girl!,22.11.2023,19:40,
4579,Acht,The Alchemist Code,22.11.2023,19:49,
4580,Ainanna,The Alchemist Code,22.11.2023,19:49,
4581,Albea,The Alchemist Code,22.11.2023,19:49,
4582,Ambrosia,The Alchemist Code,22.11.2023,19:49,
4583,Basheeny,The Alchemist Code,22.11.2023,19:49,
4584,Bertha,The Alchemist Code,22.11.2023,19:49,
4585,Birgitta,The Alchemist Code,22.11.2023,19:49,
4586,Caris,The Alchemist Code,22.11.2023,19:49,
4587,Cheryl,The Alchemist Code,22.11.2023,19:49,
4588,Chihaya,The Alchemist Code,22.11.2023,19:49,
4589,Chloe,The Alchemist Code,22.11.2023,19:49,
4590,Claris,The Alchemist Code,22.11.2023,19:49,
4591,Claybelle,The Alchemist Code,22.11.2023,19:49,
4592,Elizabeth,The Alchemist Code,22.11.2023,19:49,
4593,Emma,The Alchemist Code,22.11.2023,19:49,
4594,Emmel,The Alchemist Code,22.11.2023,19:49,
4595,Fraise,The Alchemist Code,22.11.2023,19:49,
4596,Gino,The Alchemist Code,22.11.2023,19:49,
4597,Glanz,The Alchemist Code,22.11.2023,19:49,
4598,Hayate,The Alchemist Code,22.11.2023,19:49,
4599,Icona,The Alchemist Code,22.11.2023,19:49,
4600,Ikasa,The Alchemist Code,22.11.2023,19:49,
4601,Irene,The Alchemist Code,22.11.2023,19:49,
4602,Itsuki,The Alchemist Code,22.11.2023,19:49,
4603,Balder Hringhorni,Kamigami no Asobi,22.11.2023,20:00,
4604,Angelica Angelus,Epic Seven,22.11.2023,20:10,
4605,Arashi Nagase,Paradise Kiss,22.11.2023,20:30,
4606,Satanichia Kurumizawa McDowell,Gabriel Dropout,22.11.2023,20:40,
4607,Remiel,Shaman King,22.11.2023,21:00,
4608,Metatron,Shaman King,22.11.2023,21:10,
4609,Hanabusa Aidou,Vampire Knight,22.11.2023,21:30,
4610,King Hassan,Fate/Grand Order,22.11.2023,21:40,
4611,Bryan Hawk,Hajime no Ippo: Rising,22.11.2023,22:00,
4612,Tooru Oikawa,Haikyuu!!,22.11.2023,22:10,❤️ 402
4613,Hajime Sadamaki,Miss Kuroitsu from the Monster Development Department,22.11.2023,22:30,
4614,Mugetsu,xxxHOLiC,22.11.2023,22:40,
4615,Erika Furudo,Umineko: When They Cry,22.11.2023,23:00,
4616,Kae Serinuma,"Kiss Him, Not Me",22.11.2023,23:30,
4617,Mako Mankanshoku,Kill La Kill,22.11.2023,23:50,❤️ 114
4618,Utsugi Tsukimiya,A Destructive God Sits Next to Me,23.11.2023,0:00,
4619,Konayuki Itezora,Katanagatari,23.11.2023,0:20,
4620,Evelika,The Alchemist Code,23.11.2023,0:30,
4621,Eri Nakamura,Arifureta: From Commonplace to World's Strongest,23.11.2023,0:50,
4622,Manjiro Sano,Tokyo Revengers,23.11.2023,1:00,❤️ 2716
4623,Yoko Kurama,Yu Yu Hakusho,23.11.2023,1:20,❤️ 85
4624,Hokuro,Ousama Ranking,23.11.2023,1:30,
4625,Gundam Heaven's Sword,Mobile Fighter G Gundam,23.11.2023,2:00,
4626,Langa Hasegawa,SK8 the Infinity,23.11.2023,2:20,❤️ 371
4627,Cinnabar,Land of the Lustrous PV,23.11.2023,2:40,
4628,Sayuri,Dead or Alive Xtreme Venus Vacation,23.11.2023,2:50,
4629,Yatarou Inuda,Orient 2nd Season,23.11.2023,3:10,
4630,Makoto Teruhashi,The Disastrous Life of Saiki K.,23.11.2023,3:20,
4631,Death the Kid,Soul Eater,23.11.2023,3:40,❤️ 334
4632,Kazuya Souma,How a Realist Hero Rebuilt the Kingdom,23.11.2023,4:10,
4633,Ayesha Ignis Fatuus,"Problem Children Are Coming from Another World, Aren't They?",23.11.2023,4:20,
4634,Yuno,Black Clover,23.11.2023,4:40,❤️ 315
4635,Zack,Dead or Alive,23.11.2023,4:50,
4636,Tomihime,Ayakashi: Japanese Classic Horror,23.11.2023,5:10,
4637,Haru Kagurano,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,23.11.2023,5:20,
4638,Romero,Zombieland Saga,23.11.2023,5:40,
4639,Moona Hoshinova,Hololive ID,23.11.2023,5:50,❤️ 135
4640,Misao Makimachi,Rurouni Kenshin,23.11.2023,6:10,
4641,Leon Magnus,Tales of Destiny,23.11.2023,6:30,
4642,Hotaru Ichijou,Non Non Biyori,23.11.2023,6:40,
4643,Sakurako Kujou,Beautiful Bones: Sakurako's Investigation,23.11.2023,7:00,
4644,Zhuo Yi,The Daily Life of the Immortal King,23.11.2023,7:10,
4645,Curran,Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,23.11.2023,7:30,
4646,Karin Sarayashiki,The Ones Within,23.11.2023,7:40,
4647,Abigail Williams,Fate/Grand Order,23.11.2023,8:10,
4648,Zero Two,DARLING in the FRANXX,23.11.2023,8:30,❤️ 4802
4649,Alma Lepucius,The Strongest Sage with the Weakest Crest,23.11.2023,9:00,
4650,Roxanne,Harem in the Labyrinth of Another World,23.11.2023,9:10,❤️ 114
4651,Atsumu Matsuyuki,Anohana: The Flower We Saw That Day,23.11.2023,9:30,
4652,M4 SOPMOD II Jr,Girls' Frontline,23.11.2023,9:50,
4653,Riko Saikawa,Miss Kobayashi's Dragon Maid,23.11.2023,10:20,
4654,Surahappa,My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!,23.11.2023,10:30,
4655,Gerard Fragarach,Black Summoner,23.11.2023,11:20,
4656,Hikage Miyauchi,Non Non Biyori,23.11.2023,11:30,
4657,Rahl Rambach,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,23.11.2023,11:50,
4658,Eris Boreas Greyrat,Mushoku Tensei: Jobless Reincarnation,23.11.2023,12:00,❤️ 724
4659,Unko,Himegoto,23.11.2023,12:30,
4660,Kocis,Tales of the Rays,23.11.2023,12:50,
4661,Ichigo,DARLING in the FRANXX,23.11.2023,13:10,
4662,Daki,Demon Slayer: Kimetsu no Yaiba: Entertainment District Arc,23.11.2023,13:20,❤️ 690
4663,Ai Mikaze,Uta no Prince-sama: Maji Love 2000%,23.11.2023,13:40,
4664,Suzuno Kamazuki,The Devil Is a Part-Timer!,23.11.2023,13:50,
4665,Mafuyu Sato,Given,23.11.2023,14:10,❤️ 254
4666,Pabu,The Legend of Korra,23.11.2023,14:20,
4667,Tarte,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,23.11.2023,14:40,
4668,Inner Moka,Rosario + Vampire,23.11.2023,14:50,
4669,Elize Lutus,Tales of Xillia,23.11.2023,15:10,
4670,Zeta Gundam,Mobile Suit Zeta Gundam,23.11.2023,15:20,
4671,Richard,Tales of Graces,23.11.2023,15:40,
4672,Houshou Marine,Hololive: Holo no Graffiti,23.11.2023,15:50,❤️ 402
4673,Shiki Ryougi,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),23.11.2023,16:10,
4674,Ganta Igarashi,Deadman Wonderland,23.11.2023,16:30,
4675,Sasaki Shuumei,Sasaki and Miyano,23.11.2023,16:40,❤️ 311
4676,Junko Hattori,Demon King Daimao,23.11.2023,17:00,
4677,Tomoe's Fragment,Tsukimichi: Moonlit Fantasy,23.11.2023,17:10,❤️ 195
4678,Henrietta,Log Horizon,23.11.2023,17:30,
4679,Hajime Shinoda,New Game!,23.11.2023,17:40,
4680,Toshiro Hitsugaya,Bleach,23.11.2023,18:00,❤️ 282
4681,Sokka,Avatar: The Last Airbender,23.11.2023,18:10,❤️ 451
4682,Leslie Blanc,Deep Insanity: The Lost Child,23.11.2023,18:30,
4683,Michiru Matsushima,The Fruit of Grisaia,23.11.2023,18:40,
4684,Su,Honkai Impact 3rd,23.11.2023,19:00,
4685,Sayaka Minami,Megaton-kyuu Musashi,23.11.2023,19:10,
4686,Joel Davidovich Pomponett,Eiga Daisuki Pompo-san,23.11.2023,19:30,
4687,Mila,Dead or Alive 5,23.11.2023,19:40,
4688,Kazuna Masunaga,B-PROJECT: Kodou*Ambitious,23.11.2023,20:00,
4689,Satotz,Hunter x Hunter,23.11.2023,20:50,
4690,Sailor Neptune,Sailor Moon S,23.11.2023,21:00,
4691,Anna Nishikinomiya,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,23.11.2023,21:20,❤️ 241
4692,Ai Ooto,Wonder Egg Priority,23.11.2023,21:30,❤️ 452
4693,Joshua,The World Ends with You,23.11.2023,21:50,
4694,Lenessia Erhart Cowen,Log Horizon,23.11.2023,22:00,
4695,Ruby Rose,RWBY,23.11.2023,22:20,❤️ 245
4696,Runa,Beast Tamer,23.11.2023,22:30,
4697,Amid,Epic Seven,23.11.2023,22:50,
4698,Kotaro Tatsumi,Zombieland Saga,23.11.2023,23:00,
4699,Haruka Isumi,IDOLiSH7,23.11.2023,23:20,
4700,Dedue Molinaro,Fire Emblem: Three Houses,23.11.2023,23:40,
4701,Guiche de Gramont,The Familiar of Zero,23.11.2023,23:50,
4702,Pieck Finger,Attack on Titan: The Final Season,24.11.2023,0:10,❤️ 433
4703,Yukito Tsukishiro,Cardcaptor Sakura,24.11.2023,0:20,
4704,Gundam Rose,Mobile Fighter G Gundam,24.11.2023,0:40,
4705,Sebastian Michaelis,Black Butler,24.11.2023,0:50,❤️ 450
4706,Rock Lee,Naruto,24.11.2023,1:10,
4707,Sumi Sakurasawa,"Kanojo, Okarishimasu",24.11.2023,1:20,❤️ 318
4708,Sinon,Sword Art Online II,24.11.2023,1:40,❤️ 622
4709,Sinbad,Magi: The Kingdom of Magic,24.11.2023,1:50,❤️ 179
4710,Ren Yamai,"Komi-san wa, Komyushou desu.",24.11.2023,2:20,
4711,Kosaki Onodera,Nisekoi,24.11.2023,2:40,❤️ 138
4712,Chii,Tsubasa Reservoir Chronicle 2nd Season,24.11.2023,3:00,
4713,Bask Om,Mobile Suit Zeta Gundam,24.11.2023,3:10,
4714,Fox,Vinland Saga Season 2,24.11.2023,3:30,
4715,Trafalgar Law,One Piece,24.11.2023,3:40,❤️ 1245
4716,Conan Edogawa,Detective Conan,24.11.2023,4:00,❤️ 181
4717,Farah Oersted,Tales of Eternia: The Animation,24.11.2023,4:10,
4718,Female Kana,Fire Emblem Fates,24.11.2023,4:30,
4719,Doppo Kunikida,Bungou Stray Dogs,24.11.2023,4:40,❤️ 89
4720,Josuke Higashikata,JoJo's Bizarre Adventure: Diamond Is Unbreakable,24.11.2023,5:00,❤️ 506
4721,Meiko Honma,Anohana: The Flower We Saw That Day,24.11.2023,5:10,❤️ 87
4722,Kanonno Grassvalley,Tales of the World: Radiant Mythology,24.11.2023,5:30,
4723,Ikaros,Heaven's Lost Property,24.11.2023,5:40,❤️ 104
4724,Poncho Panacotta,How a Realist Hero Rebuilt the Kingdom,24.11.2023,6:00,
4725,Happy,Edens Zero,24.11.2023,6:20,
4726,Levi,Attack on Titan,24.11.2023,6:30,❤️ 3178
4727,Leah Kazuno,Love Live! Sunshine!!,24.11.2023,6:50,
4728,Lily Hoshikawa,Zombieland Saga,24.11.2023,7:00,
4729,Haku,Koi to Producer: EVOL×LOVE,24.11.2023,7:20,
4730,Galan Ys Meigis,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,24.11.2023,7:30,
4731,Lee (Entropy),Punishing Gray Raven,24.11.2023,7:50,
4732,Henry Henderson,Spy x Family,24.11.2023,8:00,
4733,Balt,The Alchemist Code,24.11.2023,8:20,
4734,Ryouta Yoshinaga,Slow Loop,24.11.2023,8:30,
4735,Shirogane Noel,Hololive: Holo no Graffiti,24.11.2023,8:50,❤️ 98
4736,Touma Amagase,The iDOLM@STER,24.11.2023,9:00,
4737,Rizu's Father,We Never Learn,24.11.2023,9:20,
4738,Creto,The Alchemist Code,24.11.2023,9:30,
4739,Shigehira Taira,Heike Monogatari,24.11.2023,9:50,
4740,Tanpopo,xxxHOLiC,24.11.2023,10:10,
4741,Ankh,The Alchemist Code,24.11.2023,10:20,
4742,Shiny Chariot,Little Witch Academia,24.11.2023,10:50,
4743,Michiru Ogawa,Magical Girl Ore,24.11.2023,11:10,
4744,Vueroeruko,Made in Abyss: The Golden City of the Scorching Sun,24.11.2023,11:40,
4745,Naoya Nifuji,Wotakoi: Love is Hard for Otaku,24.11.2023,11:50,
4746,Itaru Hashida,Steins;Gate,24.11.2023,12:10,
4747,Chise Hatori,The Ancient Magus' Bride: Those Awaiting a Star,24.11.2023,12:40,❤️ 176
4748,Materia Kuro,Frame Arms Girl,24.11.2023,12:50,
4749,Konoha Hoshinomori,Gamers!,24.11.2023,13:10,
4750,Illia Animi,Tales of Innocence,24.11.2023,13:30,
4751,Gutatan,Haiyore! Nyaruko-san,24.11.2023,13:40,
4752,Nobisuke Nobi Sr.,Doraemon (1979),24.11.2023,14:00,
4753,Amanda O'Neill,Little Witch Academia: The Enchanted Parade,24.11.2023,14:10,
4754,Machi,Hunter x Hunter,24.11.2023,14:30,❤️ 84
4755,Isshin Kurosaki,Bleach,24.11.2023,14:40,
4756,Makino Aikawa,The Ones Within,24.11.2023,15:00,
4757,Junko Konno,Zombieland Saga,24.11.2023,15:10,
4758,Jean,Parallel World Pharmacy,24.11.2023,15:30,
4759,Ki Tanmoku,Spiritpact,24.11.2023,15:40,
4760,Akane Kurokawa,Oshi no Ko,24.11.2023,16:00,❤️ 748
4761,Keita Amano,Gamers!,24.11.2023,16:10,
4762,Rona Pricipa O'Lapanesta,Endro~!,24.11.2023,16:30,
4763,Milly Thompson,Trigun,24.11.2023,16:50,
4764,Naoto Hachiouji,"Don't Toy with Me, Miss Nagatoro",24.11.2023,17:00,
4765,Rise Kujikawa,Persona 4 the Animation,24.11.2023,17:20,❤️ 86
4766,Marisa,Fire Emblem: The Sacred Stones,24.11.2023,17:50,
4767,Thorgil,Vinland Saga Season 2,24.11.2023,18:00,
4768,Mashiro Shiina,The Pet Girl of Sakurasou,24.11.2023,18:20,❤️ 455
4769,Ryou Amakusa,Koikimo,24.11.2023,18:30,
4770,Choujirou Momochi,Nightshade,24.11.2023,18:50,
4771,Genny,Fire Emblem Echoes: Shadows of Valentia,24.11.2023,19:00,
4772,Desha,Ousama Ranking,24.11.2023,19:20,
4773,Nimya Tchuhachkova,Kino's Journey,24.11.2023,19:30,
4774,Suzue Kanbe,Fugou Keiji: Balance:Unlimited,24.11.2023,19:50,
4775,Yuuri Katsuki,Yuri!!! on Ice,24.11.2023,20:00,❤️ 132
4776,Tsukumo Sana,Hololive EN,24.11.2023,20:20,❤️ 98
4777,Rio,Seirei Gensouki: Spirit Chronicles,24.11.2023,20:40,
4778,Kurenai Kogetsu,Edens Zero,24.11.2023,20:50,
4779,Balgo Ywain Parks,BURN THE WITCH,24.11.2023,21:10,
4780,Yoneda Zen,Shaman King,24.11.2023,21:20,
4781,Sumire Heanna,Love Live! Superstar!!,24.11.2023,21:40,
4782,Numano Himemiko,Kamisama Kiss,24.11.2023,21:50,
4783,Maria Louise,Mobile Fighter G Gundam,24.11.2023,22:10,
4784,Tokai Teio,Uma Musume: Pretty Derby,24.11.2023,22:20,
4785,Julie Sigtuna,Absolute Duo,24.11.2023,22:40,
4786,Marco,One Piece,24.11.2023,22:50,❤️ 109
4787,Adachi Koichi,Yakuza: Like a Dragon,24.11.2023,23:10,
4788,Shouma Hanamura,The iDOLM@STER SideM,24.11.2023,23:20,
4789,Dark Nyx,The Alchemist Code,24.11.2023,23:37,
4790,Jin,The Alchemist Code,24.11.2023,23:37,
4791,Kagura,The Alchemist Code,24.11.2023,23:37,
4792,Kalmia,The Alchemist Code,24.11.2023,23:37,
4793,Kanon,The Alchemist Code,24.11.2023,23:37,
4794,Klima,The Alchemist Code,24.11.2023,23:37,
4795,Kudanstein,The Alchemist Code,24.11.2023,23:37,
4796,Langhao,The Alchemist Code,24.11.2023,23:37,
4797,Lofia,The Alchemist Code,24.11.2023,23:37,
4798,Lucia,The Alchemist Code,24.11.2023,23:37,
4799,Magnus,The Alchemist Code,24.11.2023,23:37,
4800,Mei Fang,The Alchemist Code,24.11.2023,23:37,
4801,Mia,The Alchemist Code,24.11.2023,23:37,
4802,Mikoto,The Alchemist Code,24.11.2023,23:37,
4803,Moa,The Alchemist Code,24.11.2023,23:37,
4804,Nimul,The Alchemist Code,24.11.2023,23:37,
4805,Pamela,The Alchemist Code,24.11.2023,23:37,
4806,Quence,The Alchemist Code,24.11.2023,23:37,
4807,Nejire Hado,My Hero Academia 3,24.11.2023,23:40,❤️ 119
4808,Teto,Nausicaa of the Valley of the Wind,25.11.2023,0:00,
4809,Ruggie Bucchi,Twisted Wonderland,25.11.2023,0:10,
4810,Tohru Honda,Fruits Basket,25.11.2023,0:30,❤️ 275
4811,Sebas Tian,Overlord,25.11.2023,0:40,
4812,Phinks,Hunter x Hunter,25.11.2023,1:00,
4813,Ging Freecss,Hunter x Hunter,25.11.2023,1:10,
4814,Sistia Rouge,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,25.11.2023,1:30,
4815,Lambert,Campfire Cooking in Another World with My Absurd Skill,25.11.2023,1:40,
4816,Sakaki Inui,Place to Place,25.11.2023,2:00,
4817,Joy,Shenmue the Animation,25.11.2023,2:30,
4818,Pelops II,Godzilla Singular Point,25.11.2023,2:40,
4819,Madara Uchiha,Naruto Shippuden,25.11.2023,3:00,❤️ 913
4820,Asval,She Professed Herself Pupil of the Wise Man,25.11.2023,3:20,
4821,Nanako Mizuki,Great Teacher Onizuka,25.11.2023,3:30,
4822,Nasa Yuzaki,Tonikaku Kawaii,25.11.2023,3:50,
4823,Rena Hananoi,Selection Project,25.11.2023,4:20,
4824,Saki Mizushima,The iDOLM@STER SideM,25.11.2023,4:30,
4825,Tanya,Granblue Fantasy,25.11.2023,4:50,
4826,Dr. Eggman,Sonic X,25.11.2023,5:00,
4827,Garma Zabi,Mobile Suit Gundam,25.11.2023,5:20,
4828,Hans Christian Andersen,Fate/EXTRA CCC,25.11.2023,5:30,
4829,Celestine Lucullus,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,25.11.2023,5:50,
4830,Angie,Resident Evil Village,25.11.2023,6:00,
4831,Beryl Benito,Tales of Hearts,25.11.2023,6:20,
4832,Ruka Azumi,Children of the Sea,25.11.2023,6:40,
4833,Deuce Spade,Twisted Wonderland,25.11.2023,6:50,
4834,Micchon Shikimori,Shikimori's Not Just a Cutie,25.11.2023,7:10,❤️ 1683
4835,Eleanora Bonnefoy,Parallel World Pharmacy,25.11.2023,7:20,
4836,Yukimin,The Ice Guy and His Cool Female Colleague,25.11.2023,7:40,
4837,Sonya,Fire Emblem Echoes: Shadows of Valentia,25.11.2023,7:50,
4838,Rito Tsukimi,Absolute Duo,25.11.2023,8:10,
4839,Hiyori Minagi,Slow Loop,25.11.2023,8:20,
4840,Pain,Naruto Shippuden,25.11.2023,8:40,❤️ 382
4841,Emma Verde,Love Live! Nijigasaki High School Idol Club,25.11.2023,8:50,
4842,Petra Macneary,Fire Emblem: Three Houses,25.11.2023,9:10,
4843,Sora Harukawa,Ensemble Stars!,25.11.2023,9:20,
4844,Hajime Shino,Ensemble Stars!,25.11.2023,9:40,
4845,Ryuu,BELLE,25.11.2023,9:50,
4846,Nell,Reincarnated as a Sword,25.11.2023,10:10,
4847,Ryo Hazuki,Shenmue the Animation,25.11.2023,10:30,
4848,Yatogami Fuma,Holostars,25.11.2023,10:40,
4849,Amidamaru,Shaman King,25.11.2023,11:00,
4850,Tsubasa Hanekawa,Bakemonogatari,25.11.2023,11:10,❤️ 166
4851,Hibari,Senran Kagura: Portrait of Girls,25.11.2023,11:30,
4852,Tails,Sonic X,25.11.2023,11:40,❤️ 74
4853,Yuusuke Igarashi,"Kiss Him, Not Me",25.11.2023,12:00,
4854,Jin Ryugasaki,DREAM!ing,25.11.2023,12:30,
4855,Kite,Hunter x Hunter,25.11.2023,12:40,❤️ 129
4856,Enju Ueno,Nightshade,25.11.2023,13:00,
4857,Usagi,Bubble,25.11.2023,13:10,
4858,Mitsuki Ooshiro,Aharen-san wa Hakarenai,25.11.2023,13:30,
4859,Airi Amano,D4DJ First Mix,25.11.2023,13:50,
4860,Mystia Lyons,Eiga Daisuki Pompo-san,25.11.2023,14:00,
4861,Yaichi Kuzuryu,The Ryuo's Work Is Never Done!,25.11.2023,14:20,
4862,Rimuru Tempest,That Time I Got Reincarnated as a Slime,25.11.2023,14:30,❤️ 2433
4863,Kanade Kotonoha,Rikei ga Koi ni Ochita no de Shoumei shitemita,25.11.2023,14:50,
4864,Akane Mizuno,Tsuki ga Kirei,25.11.2023,15:00,
4865,Marik Ishtar,Yu-Gi-Oh! Duel Monsters,25.11.2023,15:20,
4866,Meiko,emon(Tes.): Lion of the Starry Sky,25.11.2023,15:30,
4867,Hua Diao,Log Horizon: Destruction of the Round Table,25.11.2023,15:50,
4868,Sumire Kanzaki,Sakura Wars TV,25.11.2023,16:00,
4869,Hanzou Urushihara,The Devil Is a Part-Timer!,25.11.2023,16:20,
4870,Tamiya Gantetsusai,Hell's Paradise: Jigokuraku,25.11.2023,16:50,
4871,Miyamoto Musashi,Fate/Grand Order,25.11.2023,17:10,❤️ 139
4872,Origami Tobiichi,Date a Live,25.11.2023,17:20,❤️ 143
4873,"Composite Demonic King, Omega Abigail the First","BASTARD!! -Heavy Metal, Dark Fantasy-",25.11.2023,17:40,
4874,Keisuke Tsukidate,Bakuten!!,25.11.2023,17:50,
4875,Hayato Shinomiya,"Kiss Him, Not Me",25.11.2023,18:10,
4876,Loki Laevatein,Kamigami no Asobi,25.11.2023,18:40,
4877,Kuro,Servamp,25.11.2023,18:50,❤️ 93
4878,Diluc,Genshin Impact,25.11.2023,19:10,❤️ 865
4879,Hodaka Morishima,Weathering with You,25.11.2023,19:20,
4880,Magical Girl Ore,Magical Girl Ore,25.11.2023,19:50,
4881,Rohan Kishibe,JoJo's Bizarre Adventure: Diamond Is Unbreakable,25.11.2023,20:10,❤️ 204
4882,Ryuunosuke Tsunashi,IDOLiSH7,25.11.2023,20:40,
4883,Dark Sakura,Fate/stay night: Heaven's Feel II. lost butterfly,25.11.2023,21:10,❤️ 91
4884,Seira Otoshiro,Aikatsu! 2,25.11.2023,21:30,
4885,Kaoruko Nanahara,Otome wa Boku ni Koishiteru: Futari no Elder,25.11.2023,21:40,
4886,Merooro,Sakugan,25.11.2023,22:00,
4887,Dice Arisugawa,Hypnosis Mic: Division Rap Battle - Rhyme Anima,25.11.2023,22:10,
4888,Saki Miyanaga,Saki,25.11.2023,22:30,
4889,Julia,The Alchemist Code,25.11.2023,22:40,
4890,Shinya Kougami,Psycho-Pass,25.11.2023,23:00,
4891,Luou Mori,Dance Dance Danseur,25.11.2023,23:10,
4892,Mamimi Samejima,FLCL,25.11.2023,23:30,
4893,Charlotte Arisaka Anderson,The Detective is Already Dead,25.11.2023,23:40,
4894,Mina Ashido,My Hero Academia,26.11.2023,0:00,❤️ 137
4895,Felsi Rollo,Mobile Suit Gundam: The Witch from Mercury,26.11.2023,0:30,
4896,Ouriku,Reikenzan: Hoshikuzu-tachi no Utage,26.11.2023,0:50,
4897,Shoyo Hinata,Haikyuu!!,26.11.2023,1:00,❤️ 1043
4898,Misaki Tobisawa,AOKANA: Four Rhythm Across the Blue,26.11.2023,1:20,
4899,Rei Ayanami,Neon Genesis Evangelion,26.11.2023,1:30,❤️ 1017
4900,Broly,Dragon Ball Z Movie 8: The Legendary Super Saiyan,26.11.2023,1:50,❤️ 135
4901,Female Knight,Endro~!,26.11.2023,2:00,
4902,Elu,Nijisanji,26.11.2023,2:20,
4903,Seira Kurusu,Selection Project,26.11.2023,2:30,
4904,Lumachina Weselia,How NOT to Summon a Demon Lord Omega,26.11.2023,2:50,
4905,Kiss-Shot,Monogatari Series: Second Season,26.11.2023,3:00,❤️ 357
4906,Franka,Campfire Cooking in Another World with My Absurd Skill,26.11.2023,3:20,
4907,Wong Yunfat,Mobile Fighter G Gundam,26.11.2023,3:40,
4908,Fai Fai,Endro~!,26.11.2023,3:50,
4909,Bezewanst,Ascendance of a Bookworm,26.11.2023,4:10,
4910,Genya Tachibana,Millennium Actress,26.11.2023,4:20,
4911,Maria Kuroda,World's End Harem,26.11.2023,4:40,
4912,Rabi~En~Rose,Di Gi Charat,26.11.2023,5:10,
4913,Shiori Yumeoji,Revue Starlight Re LIVE,26.11.2023,5:20,
4914,Saki Saki,"Girlfriend, Girlfriend",26.11.2023,5:40,
4915,Male Robin,Fire Emblem Awakening,26.11.2023,5:50,
4916,Belzebuth,"I'm the Villainess, So I'm Taming the Final Boss",26.11.2023,6:10,
4917,Afro Samurai,Afro Samurai,26.11.2023,6:20,
4918,Clawdeen Wolf,Monster High: Kowai-ke Girls,26.11.2023,6:40,
4919,Nanashi,Sword of the Stranger,26.11.2023,7:00,
